"timestamp","pid","instance","utilization"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_0_engtype_3d","52.1642"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_1_engtype_copy","5.3091"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_2_engtype_compute 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_3_engtype_copy","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_4_engtype_timer 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_5_engtype_security 1","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_6_engtype_video jpeg 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_7_engtype_video codec engine","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_0_engtype_3d","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_10_engtype_video codec 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_1_engtype_copy","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_2_engtype_compute 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_3_engtype_compute 1","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_4_engtype_timer 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_5_engtype_security 1","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_6_engtype_high priority compute","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_7_engtype_high priority 3d","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_8_engtype_video jpeg 0","0"
"2026-05-28T21:06:34.6864732+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_9_engtype_video decode 1","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_0_engtype_3d","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_1_engtype_copy","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_2_engtype_compute 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_3_engtype_copy","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_4_engtype_timer 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_5_engtype_security 1","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_6_engtype_video jpeg 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00012ebe_phys_0_eng_7_engtype_video codec engine","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_0_engtype_3d","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_10_engtype_video codec 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_1_engtype_copy","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_2_engtype_compute 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_3_engtype_compute 1","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_4_engtype_timer 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_5_engtype_security 1","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_6_engtype_high priority compute","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_7_engtype_high priority 3d","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_8_engtype_video jpeg 0","0"
"2026-05-28T21:06:36.4548791+08:00","25788","pid_25788_luid_0x00000000_0x00015316_phys_0_eng_9_engtype_video decode 1","0"
